Orthogroup	arabidopsis	lettuce	maize	medicago	melon	rice	safflower	tobacco	tomato	watermelon
OG0000353	GO:0016020,GO:0022857,GO:0055085		GO:0016020,GO:0022857,GO:0055085		GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085		GO:0016020,GO:0022857,GO:0055085		
OG0000354				GO:0004672,GO:0005524,GO:0006468		GO:0004672,GO:0005524,GO:0006468				
OG0000355				GO:0003677,GO:0006355		GO:0003677,GO:0006355				
OG0000356				GO:0016020,GO:0016760,GO:0030244	GO:0016020,GO:0016760,GO:0030244					
OG0000357										
OG0000358										
OG0000359										
OG0000360	GO:0016020			GO:0016020		GO:0016020				
OG0000361		GO:0005515,GO:0016702,GO:0046872			GO:0016702,GO:0046872	GO:0005515,GO:0016702,GO:0046872				
OG0000362										
OG0000363								GO:0009055		
OG0000364										
OG0000365										
OG0000366										
OG0000367										
OG0000368										
OG0000369										
OG0000370	GO:0003993,GO:0016787,GO:0046872									
OG0000371	GO:0005515,GO:0043531	GO:0043531					GO:0043531	GO:0043531		
OG0000372				GO:0016020						
OG0000373										
OG0000374										
OG0000375	GO:0003924,GO:0005525		GO:0003924,GO:0005525	GO:0003924,GO:0005525		GO:0003924,GO:0005525				
OG0000376										
OG0000377										
OG0000378										
OG0000379	GO:0004470,GO:0016616,GO:0051287	GO:0004470,GO:0016616,GO:0051287			GO:0004470,GO:0016616,GO:0051287			GO:0004470,GO:0016616,GO:0051287		
OG0000380										
OG0000381		GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037						
OG0000382				GO:0005515,GO:0043531						
OG0000383										
OG0000384	GO:0016788									
OG0000385	GO:0003779									
OG0000386	GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165		GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165	GO:0004672,GO:0005524,GO:0006468,GO:0007165	
OG0000387	GO:0000159,GO:0007165,GO:0019888	GO:0000159,GO:0007165,GO:0019888		GO:0000159,GO:0007165,GO:0019888			GO:0000159,GO:0007165,GO:0019888			
OG0000388	GO:0003723							GO:0003723		
OG0000389										
OG0000390										
OG0000391						GO:0003700,GO:0006351,GO:0006355,GO:0043565				
OG0000392										
OG0000393										
OG0000394										
OG0000395					GO:0003723,GO:1990817			GO:0003723,GO:1990817		
OG0000396										
OG0000397										
OG0000398										
OG0000399										
OG0000400										
OG0000401	GO:0005515					GO:0005515				
OG0000402										
OG0000403										
OG0000404										
OG0000405										
OG0000406										
OG0000407	GO:0003677,GO:0008289									
OG0000408										
OG0000409										
OG0000410										
OG0000411										
OG0000412										
OG0000413										
OG0000414										
OG0000415										
OG0000416										
OG0000417	GO:0003950									
OG0000418										
OG0000419										
OG0000420										
OG0000421										
OG0000422										
OG0000423	GO:0005515			GO:0005515		GO:0005515		GO:0005515		
OG0000424	GO:0016020					GO:0016020		GO:0016020		
OG0000425	GO:0003677,GO:0005634,GO:0006355	GO:0003677,GO:0005634,GO:0006355		GO:0003677,GO:0005634,GO:0006355	GO:0003677,GO:0005634,GO:0006355	GO:0003677,GO:0005634,GO:0006355			GO:0003677,GO:0005634,GO:0006355	
OG0000426										
OG0000427										
OG0000428										
OG0000429										
OG0000430										
OG0000431										
OG0000432	GO:0022857,GO:0055085									
OG0000433										
OG0000434										
OG0000435										
OG0000436	GO:0015267,GO:0016020,GO:0055085						GO:0015267,GO:0016020,GO:0055085	GO:0015267,GO:0016020,GO:0055085		
OG0000437		GO:0000148,GO:0003843,GO:0006075,GO:0016020								
OG0000438										
OG0000439	GO:0004252,GO:0016020	GO:0004252,GO:0016020		GO:0004252,GO:0016020	GO:0004252,GO:0016020	GO:0004252,GO:0016020		GO:0004252,GO:0016020		GO:0004252,GO:0016020
OG0000440										
